PassengerId,Survived
1040,0.440678
1041,0.717949
1042,0.763780
1043,0.026316
1044,0.402174
1045,1.000000
1046,0.050000
1047,0.268116
1048,0.763780
1049,0.268116
1050,0.440678
1051,0.052632
1052,0.268116
1053,0.402174
1054,0.367089
1055,0.066667
1056,0.367089
1057,0.402174
1058,0.440678
1059,0.402174
1060,0.440678
1061,0.142857
1062,0.268116
1063,0.268116
1064,0.052632
1065,0.268116
1066,0.402174
1067,0.717949
1068,0.440678
1069,0.763780
1070,0.717949
1071,0.763780
1072,0.367089
1073,0.763780
1074,0.763780
1075,0.268116
1076,0.763780
1077,0.440678
1078,1.000000
1079,0.142857
1080,0.050000
1081,0.367089
1082,0.440678
1083,0.440678
1084,0.052632
1085,0.367089
1086,0.717949
1087,0.268116
1088,0.763780
1089,0.268116
1090,0.367089
1091,0.142857
1092,0.402174
1093,0.052632
1094,0.763780
1095,0.717949
1096,0.367089
1097,0.440678
1098,0.268116
1099,0.367089
1100,0.440678
1101,0.026316
1102,0.402174
1103,0.066667
1104,0.000000
1105,0.440678
1106,0.268116
1107,0.440678
1108,1.000000
1109,0.763780
1110,0.763780
1111,0.142857
1112,1.000000
1113,0.142857
1114,0.367089
1115,0.268116
1116,0.440678
1117,0.402174
1118,0.268116
1119,0.268116
1120,0.052632
1121,0.367089
1122,0.000000
1123,0.440678
1124,0.066667
1125,1.000000
1126,0.763780
1127,0.268116
1128,0.763780
1129,0.268116
1130,0.000000
1131,0.763780
1132,0.440678
1133,0.717949
1134,0.763780
1135,0.000000
1136,0.402174
1137,0.440678
1138,0.440678
1139,0.717949
1140,0.440678
1141,0.052632
1142,0.717949
1143,0.473684
1144,0.763780
1145,0.142857
1146,0.142857
1147,0.268116
1148,0.268116
1149,0.142857
1150,0.367089
1151,0.268116
1152,0.402174
1153,0.268116
1154,1.000000
1155,1.000000
1156,0.367089
1157,0.026316
1158,0.000000
1159,0.268116
1160,0.142857
1161,0.142857
1162,0.763780
1163,0.268116
1164,0.763780
1165,0.402174
1166,0.268116
1167,0.440678
1168,0.367089
1169,0.440678
1170,0.440678
1171,0.367089
1172,0.142857
1173,0.052632
1174,0.268116
1175,0.402174
1176,0.402174
1177,0.268116
1178,0.268116
1179,0.763780
1180,0.268116
1181,0.142857
1182,0.440678
1183,0.066667
1184,0.268116
1185,0.763780
1186,0.142857
1187,0.026316
1188,0.717949
1189,0.402174
1190,0.440678
1191,0.268116
1192,0.268116
1193,0.440678
1194,1.000000
1195,0.142857
1196,0.268116
1197,0.717949
1198,0.763780
1199,0.142857
1200,0.763780
1201,0.052632
1202,0.142857
1203,0.268116
1204,0.268116
1205,0.268116
1206,0.763780
1207,0.268116
1208,0.763780
1209,0.367089
1210,0.268116
1211,0.440678
1212,0.268116
1213,0.268116
1214,0.367089
1215,0.440678
1216,0.763780
1217,0.066667
1218,0.717949
1219,0.763780
1220,0.440678
1221,0.367089
1222,0.717949
1223,0.440678
1224,0.268116
1225,0.402174
1226,0.026316
1227,0.440678
1228,0.367089
1229,0.268116
1230,0.440678
1231,0.268116
1232,0.367089
1233,0.268116
1234,0.402174
1235,0.763780
1236,0.052632
1237,0.268116
1238,0.367089
1239,0.268116
1240,0.367089
1241,0.440678
1242,0.763780
1243,0.367089
1244,0.000000
1245,1.000000
1246,0.402174
1247,0.440678
1248,0.440678
1249,1.000000
1250,0.268116
1251,0.402174
1252,0.050000
1253,0.717949
1254,0.440678
1255,0.142857
1256,0.763780
1257,0.402174
1258,0.052632
1259,0.402174
1260,0.763780
1261,1.000000
1262,0.000000
1263,0.763780
1264,0.000000
1265,0.367089
1266,0.763780
1267,0.763780
1268,0.142857
1269,0.367089
1270,0.440678
1271,0.050000
1272,0.268116
1273,1.000000
1274,0.052632
1275,0.402174
1276,0.367089
1277,1.000000
1278,0.268116
1279,0.367089
1280,0.268116
1281,0.050000
1282,0.763780
1283,0.717949
1284,0.402174
1285,0.367089
1286,0.050000
1287,0.763780
1288,0.268116
1289,0.763780
1290,0.268116
1291,0.268116
1292,0.763780
1293,0.440678
1294,0.763780
1295,0.440678
1296,0.440678
1297,1.000000
1298,0.000000
1299,0.763780
1300,0.268116
1301,0.052632
1302,0.268116
1303,0.763780
1304,0.268116
1305,0.142857
1306,0.763780
1307,0.268116
1308,0.142857
1309,0.402174
